date,processed_log_return_wtmra_0,processed_log_return_wtmra_0_trend,processed_log_return_wtmra_0_trend_seasonal,processed_log_return_wtmra_0_trend_residual
2022-01-01,-0.2750207149044335,-0.17166144534496758,-0.18720378354973888,0.08384451399027293
2022-01-02,0.3798155247084434,-0.1632811076263403,-0.29244616372826715,0.8355427960630508
2022-01-03,-0.0716634325512226,-0.1548786817583482,0.23842762592951117,-0.15521237672238555
2022-01-04,-0.1913837681380776,-0.14645780972869998,-0.2100412165562026,0.16511525814682498
2022-01-05,0.2630546430368546,-0.13801865366670987,0.23792660274179392,0.16314669396177056
2022-01-06,-0.4194647098928732,-0.1295664560065353,-0.12358826085681507,-0.16630999302952285
2022-01-07,0.5278031009296796,-0.12111175504866299,-0.5517374396196139,1.2006522955979564
2022-01-08,-0.3479378535646508,-0.1126622501817018,-0.19130311720334012,-0.043972486179608875
2022-01-09,0.0624502230359492,-0.10422450180457404,0.24502330764220298,-0.07834858280167972
2022-01-10,0.1826486755316292,-0.0958033627222882,0.19626925943962623,0.08218277881429117
2022-01-11,-0.3799671043022966,-0.08740157011417712,-0.21854666643651702,-0.07401886775160244
2022-01-12,0.1379412156811904,-0.07902286224149614,0.28490255729804537,-0.06793847937535884
2022-01-13,0.4969917384608494,-0.07066865968963586,0.4939266628383723,0.07373373531211296
2022-01-14,-0.7074884499191075,-0.06233751954967855,-0.4587630862372118,-0.1863878441322172
2022-01-15,0.4676270914373128,-0.05402715824275656,0.44821875749688633,0.07343549218318302
2022-01-16,-0.3922385327567974,-0.04572974347681674,-0.3807126508439751,0.034203861563994464
2022-01-17,0.1349691929187976,-0.037435376260030226,0.2129450832344318,-0.04054051405560395
2022-01-18,0.4958467769250237,-0.029131455396202096,0.2548657308876552,0.27011250143357063
2022-01-19,-0.5388694576784983,-0.020800282338731782,-0.4188186189542103,-0.09925055638555617
2022-01-20,0.0164697525201625,-0.012422559167208856,0.02004514017704114,0.008847171510330215
2022-01-21,0.279249283630082,-0.0039682101923934135,0.19063717324320426,0.09258032057927115
2022-01-22,-0.2649435245005824,0.004603892307983723,-0.29931534971555346,0.02976793290698734
2022-01-23,-0.1101081539846335,0.013332518669621051,-0.018512497333818684,-0.10492817532043587
